Date,Open,High,Low,Close,Volume,Stock
2024-01-04 00:00:00-05:00,181.26,182.2,180.0,181.02,71983600,AAPL
2024-01-05 00:00:00-05:00,181.1,181.87,179.29,180.3,62303300,AAPL
2024-01-08 00:00:00-05:00,181.2,184.7,180.62,184.66,59144500,AAPL
2024-01-09 00:00:00-05:00,183.02,184.25,181.84,184.24,42841800,AAPL
2024-01-10 00:00:00-05:00,183.45,185.49,183.02,185.28,46792900,AAPL
2024-01-11 00:00:00-05:00,185.63,186.14,182.72,184.69,49128400,AAPL
2024-01-12 00:00:00-05:00,185.15,185.83,184.29,185.01,40444700,AAPL
2024-01-16 00:00:00-05:00,181.27,183.36,180.05,182.73,65603000,AAPL
2024-01-17 00:00:00-05:00,180.39,182.04,179.42,181.79,47317400,AAPL
2024-01-18 00:00:00-05:00,185.18,188.22,184.92,187.71,78005800,AAPL
2024-01-19 00:00:00-05:00,188.41,191.01,187.9,190.63,68741000,AAPL
2024-01-22 00:00:00-05:00,191.36,194.38,191.32,192.94,60133900,AAPL
2024-01-23 00:00:00-05:00,194.07,194.8,192.89,194.23,42355600,AAPL
2024-01-24 00:00:00-05:00,194.47,195.42,193.39,193.55,53631300,AAPL
2024-01-25 00:00:00-05:00,194.27,195.31,192.17,193.22,54822100,AAPL
2024-01-26 00:00:00-05:00,193.32,193.81,191.0,191.48,44594000,AAPL
2024-01-29 00:00:00-05:00,191.07,191.26,188.66,190.8,47145600,AAPL
2024-01-30 00:00:00-05:00,190.01,190.86,186.56,187.12,55859400,AAPL
2024-01-31 00:00:00-05:00,186.13,186.19,183.45,183.5,55467800,AAPL
2024-02-01 00:00:00-05:00,183.09,186.04,182.92,185.95,64885400,AAPL
2024-02-02 00:00:00-05:00,178.98,186.42,178.38,184.94,102518000,AAPL
2024-02-05 00:00:00-05:00,187.23,188.33,184.93,186.77,69668800,AAPL
2024-02-06 00:00:00-05:00,185.95,188.39,185.86,188.38,43490800,AAPL
2024-02-07 00:00:00-05:00,189.71,190.12,187.69,188.49,53439000,AAPL
2024-02-08 00:00:00-05:00,188.47,188.62,186.44,187.4,40962000,AAPL
2024-02-09 00:00:00-05:00,187.97,189.31,187.32,188.17,45155200,AAPL
2024-02-12 00:00:00-05:00,187.74,187.99,186.12,186.48,41781900,AAPL
2024-02-13 00:00:00-05:00,185.1,185.54,182.85,184.37,56529500,AAPL
2024-02-14 00:00:00-05:00,184.65,184.86,181.78,183.49,54630500,AAPL
2024-02-15 00:00:00-05:00,182.89,183.82,180.7,183.2,65434500,AAPL
2024-02-16 00:00:00-05:00,182.76,184.18,181.02,181.65,49701400,AAPL
2024-02-20 00:00:00-05:00,181.13,181.77,179.35,180.91,53665600,AAPL
2024-02-21 00:00:00-05:00,181.28,182.23,180.01,181.66,41529700,AAPL
2024-02-22 00:00:00-05:00,182.82,184.29,181.8,183.71,52292200,AAPL
2024-02-23 00:00:00-05:00,184.34,184.37,181.57,181.86,45119700,AAPL
2024-02-26 00:00:00-05:00,181.58,182.1,180.0,180.51,40867400,AAPL
2024-02-27 00:00:00-05:00,180.45,183.26,178.91,181.97,54318900,AAPL
2024-02-28 00:00:00-05:00,181.85,182.46,179.48,180.77,48953900,AAPL
2024-02-29 00:00:00-05:00,180.62,181.91,178.88,180.1,136682600,AAPL
2024-03-01 00:00:00-05:00,178.9,179.88,176.74,179.01,73488000,AAPL
2024-03-04 00:00:00-05:00,175.51,176.26,173.16,174.47,81510100,AAPL
2024-03-05 00:00:00-05:00,170.14,171.42,169.01,169.51,95132400,AAPL
2024-03-06 00:00:00-05:00,170.44,170.62,168.07,168.51,68587700,AAPL
2024-03-07 00:00:00-05:00,168.54,170.11,167.88,168.39,71765100,AAPL
2024-03-08 00:00:00-05:00,168.39,173.07,168.33,170.11,76114600,AAPL
2024-03-11 00:00:00-04:00,172.32,173.75,171.43,172.13,60139500,AAPL
2024-03-12 00:00:00-04:00,172.53,173.4,170.39,172.61,59825400,AAPL
2024-03-13 00:00:00-04:00,172.15,172.57,170.14,170.51,52488700,AAPL
2024-03-14 00:00:00-04:00,172.29,173.68,171.43,172.38,72913500,AAPL
2024-03-15 00:00:00-04:00,170.55,172.0,169.68,172.0,121664700,AAPL
2024-03-18 00:00:00-04:00,174.94,177.07,172.89,173.09,75604200,AAPL
2024-03-19 00:00:00-04:00,173.71,175.97,172.41,175.45,55215200,AAPL
2024-03-20 00:00:00-04:00,175.09,178.03,174.46,178.03,53423100,AAPL
2024-03-21 00:00:00-04:00,176.41,176.85,170.22,170.75,106181300,AAPL
2024-03-22 00:00:00-04:00,171.14,172.43,169.45,171.66,71106600,AAPL
2024-03-25 00:00:00-04:00,169.96,171.32,168.84,170.23,54288300,AAPL
2024-03-26 00:00:00-04:00,169.39,170.8,168.97,169.1,57388400,AAPL
2024-03-27 00:00:00-04:00,169.8,172.97,169.5,172.69,60273300,AAPL
2024-03-28 00:00:00-04:00,171.13,171.61,169.9,170.86,65672700,AAPL
2024-04-01 00:00:00-04:00,170.57,170.63,168.87,169.42,46240500,AAPL
